item_id,total_sales
FOODS_1_189,4459
FOODS_1_190,21841
FOODS_1_191,7358
FOODS_1_192,19343
FOODS_1_193,10464
FOODS_1_194,31163
FOODS_1_195,14126
FOODS_1_196,28501
FOODS_1_197,8055
FOODS_1_198,7939
FOODS_1_199,10330
FOODS_1_200,35586
FOODS_1_201,29936
FOODS_1_202,19041
FOODS_1_203,12592
FOODS_1_204,63677
FOODS_1_205,8784
FOODS_1_206,30148
FOODS_1_207,15506
FOODS_1_208,25581
FOODS_1_209,15869
FOODS_1_210,29003
FOODS_1_211,4151
FOODS_1_212,2989
FOODS_1_213,12353
FOODS_1_214,13156
FOODS_1_215,23329
FOODS_1_216,16406
FOODS_1_217,49258
FOODS_1_218,234594
FOODS_1_219,41164
FOODS_2_001,11134
FOODS_2_002,25088
FOODS_2_003,19939
FOODS_2_004,10566
FOODS_2_005,12136
FOODS_2_006,2337
FOODS_2_007,3088
FOODS_2_008,5285
FOODS_2_009,21713
FOODS_2_010,9713
FOODS_2_011,7779
FOODS_2_012,7068
FOODS_2_013,82174
FOODS_2_014,22186
FOODS_2_015,3939
FOODS_2_016,68058
FOODS_2_017,2083
FOODS_2_018,21105
FOODS_2_019,98911
FOODS_2_020,15004
FOODS_2_021,121679
FOODS_2_022,19558
FOODS_2_023,6429
FOODS_2_024,20448
FOODS_2_025,10573
FOODS_2_026,30957
FOODS_2_027,8510
FOODS_2_028,7158
FOODS_2_029,33843
FOODS_2_030,23954
FOODS_2_031,28180
FOODS_2_032,18673
FOODS_2_033,13300
FOODS_2_034,24466
FOODS_2_035,11099
FOODS_2_036,38948
FOODS_2_037,5160
FOODS_2_038,12832
FOODS_2_039,5376
FOODS_2_040,4590
FOODS_2_041,8554
FOODS_2_042,20821
FOODS_2_043,9749
FOODS_2_044,16352
FOODS_2_045,5634
FOODS_2_046,2637
FOODS_2_047,22363
FOODS_2_048,4545
FOODS_2_049,19894
FOODS_2_050,16323
FOODS_2_051,17112
FOODS_2_052,27930
FOODS_2_053,5487
FOODS_2_054,55781
FOODS_2_055,15702
FOODS_2_056,52677
FOODS_2_057,2049
FOODS_2_058,11999
FOODS_2_059,28258
FOODS_2_060,17483
FOODS_2_061,37533
FOODS_2_062,11633
FOODS_2_063,44170
FOODS_2_064,12691
FOODS_2_065,47942
FOODS_2_066,12407
FOODS_2_067,13873
FOODS_2_068,2086
FOODS_2_069,3528
FOODS_2_070,16234
FOODS_2_071,1123
FOODS_2_072,11823
FOODS_2_073,1094
FOODS_2_074,27474
FOODS_2_075,26771
FOODS_2_076,5596
FOODS_2_077,4655
FOODS_2_078,12208
FOODS_2_079,12673
FOODS_2_080,38550
FOODS_2_081,23618
FOODS_2_082,32492
FOODS_2_083,13668
FOODS_2_084,4957
FOODS_2_085,14308
FOODS_2_086,24639
FOODS_2_087,2823
FOODS_2_088,10568
FOODS_2_089,3505
FOODS_2_090,1678
FOODS_2_091,6238
FOODS_2_092,18911
FOODS_2_093,27113
FOODS_2_094,3726
FOODS_2_095,6030
FOODS_2_096,1282
FOODS_2_097,2575
FOODS_2_099,22493
FOODS_2_100,19152
FOODS_2_101,18670
FOODS_2_102,2923
FOODS_2_103,21734
FOODS_2_104,19455
FOODS_2_105,7084
FOODS_2_106,14805
FOODS_2_107,14748
FOODS_2_108,8799
FOODS_2_109,16703
FOODS_2_110,7259
FOODS_2_111,4952
FOODS_2_112,23982
FOODS_2_113,7083
FOODS_2_114,4156
FOODS_2_115,12601
FOODS_2_116,25051
FOODS_2_117,6143
FOODS_2_118,10173
FOODS_2_119,27978
FOODS_2_120,8337
FOODS_2_121,12128
FOODS_2_122,10883
FOODS_2_123,5398
FOODS_2_124,7958
FOODS_2_125,9848
FOODS_2_126,11027
FOODS_2_127,3690
FOODS_2_128,149465
FOODS_2_129,2087
FOODS_2_130,7790
FOODS_2_131,29533
FOODS_2_132,6821
FOODS_2_133,6141
FOODS_2_134,14079
FOODS_2_135,19907
FOODS_2_136,12204
FOODS_2_137,15085
FOODS_2_138,19641
FOODS_2_139,26426
FOODS_2_140,4778
FOODS_2_141,16955
FOODS_2_142,20892
FOODS_2_143,13811
FOODS_2_144,21130
FOODS_2_145,9962
FOODS_2_146,18910
FOODS_2_147,2286
FOODS_2_148,6666
FOODS_2_149,29363
FOODS_2_150,28277
FOODS_2_151,21122
FOODS_2_152,80460
FOODS_2_153,22724
FOODS_2_154,4235
FOODS_2_155,3059
FOODS_2_156,20760
FOODS_2_157,9302
FOODS_2_158,8339
FOODS_2_159,2225
FOODS_2_160,4338
FOODS_2_161,4019
FOODS_2_162,10699
FOODS_2_163,7573
FOODS_2_164,62224
FOODS_2_165,2623
FOODS_2_166,45949
FOODS_2_167,10961
FOODS_2_168,2095
FOODS_2_169,6224
FOODS_2_170,25765
FOODS_2_171,32235
FOODS_2_172,7112
FOODS_2_173,21600
FOODS_2_174,16748
FOODS_2_175,41654
FOODS_2_176,11711
FOODS_2_177,6395
FOODS_2_178,5578
FOODS_2_179,4199
FOODS_2_180,9208
FOODS_2_181,138531
FOODS_2_182,20508
FOODS_2_183,52968
FOODS_2_184,29425
FOODS_2_185,4310
FOODS_2_186,4959
FOODS_2_187,2976
FOODS_2_188,6742
FOODS_2_189,22819
FOODS_2_190,8526
FOODS_2_191,4096
FOODS_2_192,16287
FOODS_2_193,4157
FOODS_2_194,37190
FOODS_2_195,7861
FOODS_2_196,15119
FOODS_2_197,162173
FOODS_2_198,22692
FOODS_2_199,40716
FOODS_2_200,5907
FOODS_2_201,12452
FOODS_2_202,7158
FOODS_2_203,4459
FOODS_2_204,64958
FOODS_2_205,7679
FOODS_2_206,5012
FOODS_2_207,4125
FOODS_2_208,13110
FOODS_2_209,4764
FOODS_2_210,7227
FOODS_2_211,19846
FOODS_2_212,25916
FOODS_2_213,4845
FOODS_2_214,5606
FOODS_2_215,5838
FOODS_2_216,8285
FOODS_2_217,16725
FOODS_2_218,7901
FOODS_2_219,10226
FOODS_2_220,13831
FOODS_2_221,12292
FOODS_2_222,63120
FOODS_2_223,9283
FOODS_2_224,8375
FOODS_2_225,17450
FOODS_2_226,1581
FOODS_2_227,5919
FOODS_2_228,6058
FOODS_2_229,26701
FOODS_2_230,11338
FOODS_2_231,17607
FOODS_2_232,19344
FOODS_2_233,42132
FOODS_2_234,10390
FOODS_2_235,7022
FOODS_2_236,28631
FOODS_2_237,10507
FOODS_2_238,11582
FOODS_2_239,1405
FOODS_2_240,53609
FOODS_2_241,54841
FOODS_2_242,22624
FOODS_2_243,4507
FOODS_2_244,95346
FOODS_2_245,18915
FOODS_2_246,5953
FOODS_2_247,34176
FOODS_2_248,6220
FOODS_2_249,6842
FOODS_2_250,3119
FOODS_2_251,20200
FOODS_2_252,1349
FOODS_2_253,2830
FOODS_2_254,2058
FOODS_2_255,28614
FOODS_2_256,13070
FOODS_2_257,29624
FOODS_2_258,10903
FOODS_2_259,2404
FOODS_2_260,6521
FOODS_2_261,5555
FOODS_2_262,15410
FOODS_2_263,7054
FOODS_2_264,7927
FOODS_2_265,4000
FOODS_2_266,21133
FOODS_2_267,22843
FOODS_2_268,2924
FOODS_2_269,5767
FOODS_2_270,4147
FOODS_2_271,2023
FOODS_2_272,20069
FOODS_2_273,4683
FOODS_2_274,30689
FOODS_2_275,13932
FOODS_2_276,158887
FOODS_2_277,5432
FOODS_2_278,6600
FOODS_2_279,13420
FOODS_2_280,3561
FOODS_2_281,3515
FOODS_2_282,23860
FOODS_2_283,30527
FOODS_2_284,8571
FOODS_2_285,52598
FOODS_2_286,14487
FOODS_2_287,2507
FOODS_2_288,14561
FOODS_2_289,30659
FOODS_2_290,6621
FOODS_2_291,29801
FOODS_2_292,5274
FOODS_2_293,53471
FOODS_2_294,49885
FOODS_2_295,7742
FOODS_2_296,6098
FOODS_2_297,22970
FOODS_2_298,4908
FOODS_2_299,37680
FOODS_2_300,3809
FOODS_2_301,10635
FOODS_2_302,10010
FOODS_2_303,12867
FOODS_2_304,22481
FOODS_2_305,4838
FOODS_2_306,13278
FOODS_2_307,25629
FOODS_2_308,9052
FOODS_2_309,25921
FOODS_2_310,2630
FOODS_2_311,29178
FOODS_2_312,6167
FOODS_2_313,3532
FOODS_2_314,8471
FOODS_2_315,60677
FOODS_2_316,10334
FOODS_2_317,6689
FOODS_2_318,30689
FOODS_2_319,6637
FOODS_2_320,13079
FOODS_2_321,14293
FOODS_2_322,44090
FOODS_2_323,6741
FOODS_2_324,5030
FOODS_2_325,81701
FOODS_2_326,135137
FOODS_2_327,21317
FOODS_2_328,4016
FOODS_2_329,6248
FOODS_2_330,12964
FOODS_2_331,8702
FOODS_2_332,8400
FOODS_2_333,27960
FOODS_2_334,9507
FOODS_2_335,6176
FOODS_2_336,7430
FOODS_2_337,2455
FOODS_2_338,11351
FOODS_2_339,19027
FOODS_2_340,13365
FOODS_2_341,2706
FOODS_2_342,35504
FOODS_2_343,7035
FOODS_2_344,15411
FOODS_2_345,4348
FOODS_2_346,19651
FOODS_2_347,105036
FOODS_2_348,10116
FOODS_2_349,39969
FOODS_2_350,4435
FOODS_2_351,16868
FOODS_2_352,11468
FOODS_2_353,11430
FOODS_2_354,4025
FOODS_2_355,5182
FOODS_2_356,23452
FOODS_2_357,29294
FOODS_2_358,9100
FOODS_2_359,25336
FOODS_2_360,257119
FOODS_2_361,14798
FOODS_2_362,1604
FOODS_2_363,5920
FOODS_2_364,46776
FOODS_2_365,3334
FOODS_2_366,6048
FOODS_2_367,11380
FOODS_2_368,50638
FOODS_2_369,2541
FOODS_2_370,15202
FOODS_2_371,82147
FOODS_2_372,3343
FOODS_2_373,9444
FOODS_2_374,33233
FOODS_2_375,13075
FOODS_2_376,22336
FOODS_2_377,5445
FOODS_2_378,10444
FOODS_2_379,2789
FOODS_2_380,58204
FOODS_2_381,32397
FOODS_2_382,16481
FOODS_2_383,17817
FOODS_2_384,35709
FOODS_2_385,18433
FOODS_2_386,5839
FOODS_2_387,3038
FOODS_2_388,30784
FOODS_2_389,2697
FOODS_2_390,1605
FOODS_2_391,28594
FOODS_2_392,12789
FOODS_2_393,2219
FOODS_2_394,7659
FOODS_2_395,2372
FOODS_2_396,17583
FOODS_2_397,16649
FOODS_2_398,44038
FOODS_2_399,23100
FOODS_3_001,9845
FOODS_3_002,35515
FOODS_3_003,3131
FOODS_3_004,3778
FOODS_3_005,15790
FOODS_3_006,4880
FOODS_3_007,184962
FOODS_3_008,27934
FOODS_3_009,3059
FOODS_3_010,9171
FOODS_3_011,23546
FOODS_3_012,19069
FOODS_3_013,13810
FOODS_3_014,26456
FOODS_3_015,23835
FOODS_3_016,3931
FOODS_3_017,2937
FOODS_3_018,3765
FOODS_3_019,13296
FOODS_3_020,58721
FOODS_3_021,29900
FOODS_3_022,2017
FOODS_3_023,25251
FOODS_3_024,22124
FOODS_3_025,12198
FOODS_3_026,26046
FOODS_3_027,11986
FOODS_3_028,18829
FOODS_3_029,24405
FOODS_3_030,179917
FOODS_3_031,11632
FOODS_3_032,19436
FOODS_3_033,3791
FOODS_3_034,17439
FOODS_3_035,20227
FOODS_3_036,3725
FOODS_3_037,38014
FOODS_3_038,2448
FOODS_3_039,53382
FOODS_3_040,7934
FOODS_3_041,25734
FOODS_3_042,92924
FOODS_3_043,11392
FOODS_3_044,7308
FOODS_3_045,9992
FOODS_3_046,13780
FOODS_3_047,8192
FOODS_3_048,23974
FOODS_3_049,5001
FOODS_3_050,11549
FOODS_3_051,14254
FOODS_3_053,15564
FOODS_3_054,62178
FOODS_3_055,8202
FOODS_3_056,9155
FOODS_3_057,9804
FOODS_3_058,10750
FOODS_3_059,35454
FOODS_3_060,7446
FOODS_3_061,6733
FOODS_3_062,10574
FOODS_3_063,22918
FOODS_3_064,75695
FOODS_3_065,17323
FOODS_3_066,29336
FOODS_3_067,31665
FOODS_3_068,7917
FOODS_3_069,35502
FOODS_3_070,94454
FOODS_3_071,27407
FOODS_3_072,5889
FOODS_3_073,13559
FOODS_3_074,11654
FOODS_3_075,8208
FOODS_3_076,47119
FOODS_3_077,39796
FOODS_3_078,7740
FOODS_3_079,49634
FOODS_3_080,262650
FOODS_3_081,12271
FOODS_3_082,19106
FOODS_3_083,22995
FOODS_3_084,11724
FOODS_3_085,4982
FOODS_3_086,120759
FOODS_3_087,38413
FOODS_3_088,2222
FOODS_3_089,37035
FOODS_3_090,1002529
FOODS_3_091,12063
FOODS_3_092,29226
FOODS_3_093,43712
FOODS_3_094,14722
FOODS_3_095,8804
FOODS_3_096,15374
FOODS_3_097,34392
FOODS_3_098,21726
FOODS_3_099,213577
FOODS_3_100,19065
FOODS_3_101,63417
FOODS_3_102,20565
FOODS_3_103,20750
FOODS_3_104,8619
FOODS_3_105,8453
FOODS_3_106,21560
FOODS_3_107,60688
FOODS_3_108,51033
FOODS_3_109,139037
FOODS_3_110,4128
FOODS_3_111,3181
FOODS_3_112,16153
FOODS_3_113,83713
FOODS_3_114,5729
FOODS_3_115,29351
FOODS_3_116,57491
FOODS_3_117,64951
FOODS_3_118,54632
FOODS_3_119,3597
FOODS_3_120,283104
FOODS_3_121,41054
FOODS_3_122,5258
FOODS_3_123,9409
FOODS_3_124,69057
FOODS_3_125,5174
FOODS_3_126,33885
FOODS_3_127,43673
FOODS_3_128,16896
FOODS_3_129,12107
FOODS_3_130,9551
FOODS_3_131,55613
FOODS_3_132,43110
FOODS_3_133,90002
FOODS_3_134,48623
FOODS_3_135,44614
FOODS_3_136,100597
FOODS_3_137,4226
FOODS_3_138,31325
FOODS_3_139,29798
FOODS_3_140,25970
FOODS_3_141,12258
FOODS_3_142,20300
FOODS_3_143,4052
FOODS_3_144,38264
FOODS_3_145,6062
FOODS_3_146,20147
FOODS_3_147,8372
FOODS_3_148,41056
FOODS_3_149,6945
FOODS_3_150,147532
FOODS_3_151,36289
FOODS_3_152,10040
FOODS_3_153,10936
FOODS_3_154,101583
FOODS_3_155,18134
FOODS_3_156,43254
FOODS_3_157,5798
FOODS_3_158,5865
FOODS_3_159,9000
FOODS_3_160,12937
FOODS_3_161,7378
FOODS_3_162,17941
FOODS_3_163,22713
FOODS_3_164,2617
FOODS_3_165,2851
FOODS_3_166,6519
FOODS_3_167,14789
FOODS_3_168,13919
FOODS_3_169,25509
FOODS_3_170,9088
FOODS_3_171,1121
FOODS_3_172,8613
FOODS_3_173,2956
FOODS_3_174,14503
FOODS_3_175,9518
FOODS_3_176,18602
FOODS_3_177,18533
FOODS_3_178,40088
FOODS_3_179,5310
FOODS_3_180,2906
FOODS_3_181,16195
FOODS_3_182,17289
FOODS_3_183,20055
FOODS_3_184,37691
FOODS_3_185,21534
FOODS_3_186,14221
FOODS_3_187,16232
FOODS_3_188,5970
FOODS_3_189,8998
FOODS_3_190,16454
FOODS_3_191,38814
FOODS_3_192,11901
FOODS_3_193,6018
FOODS_3_194,32877
FOODS_3_195,42475
FOODS_3_196,10059
FOODS_3_197,10099
FOODS_3_198,4799
FOODS_3_199,18034
FOODS_3_200,14556
FOODS_3_201,45230
FOODS_3_202,295689
FOODS_3_203,36820
FOODS_3_204,7327
FOODS_3_205,22368
FOODS_3_206,13069
FOODS_3_207,23524
FOODS_3_208,14668
FOODS_3_209,2448
FOODS_3_210,5182
FOODS_3_211,13264
FOODS_3_212,19033
FOODS_3_213,26938
FOODS_3_214,25924
FOODS_3_215,38039
FOODS_3_216,7291
FOODS_3_217,36184
FOODS_3_218,6362
FOODS_3_219,85377
FOODS_3_220,823
FOODS_3_221,4952
FOODS_3_222,13274
FOODS_3_223,9007
FOODS_3_224,37936
FOODS_3_225,22404
FOODS_3_226,363082
FOODS_3_227,75908
FOODS_3_228,140886
FOODS_3_229,9119
FOODS_3_230,48713
FOODS_3_231,66327
FOODS_3_232,32905
FOODS_3_233,69415
FOODS_3_234,251160
FOODS_3_235,8097
FOODS_3_236,27400
FOODS_3_237,29491
FOODS_3_238,28146
FOODS_3_239,15161
FOODS_3_240,7551
FOODS_3_241,34473
FOODS_3_242,18206
FOODS_3_243,13529
FOODS_3_244,5513
FOODS_3_245,100314
FOODS_3_246,13837
FOODS_3_247,5544
FOODS_3_248,17280
FOODS_3_249,22670
FOODS_3_250,22955
FOODS_3_251,6351
FOODS_3_252,565299
FOODS_3_253,13520
FOODS_3_254,2389
FOODS_3_255,1269
FOODS_3_256,2138
FOODS_3_257,39722
FOODS_3_258,59388
FOODS_3_259,47827
FOODS_3_260,1408
FOODS_3_261,12906
FOODS_3_262,3419
FOODS_3_263,80264
FOODS_3_264,6798
FOODS_3_265,32377
FOODS_3_266,7816
FOODS_3_267,29929
FOODS_3_268,7015
FOODS_3_269,17699
FOODS_3_270,3108
FOODS_3_271,23135
FOODS_3_272,5487
FOODS_3_273,24012
FOODS_3_274,43445
FOODS_3_275,5757
FOODS_3_276,24021
FOODS_3_277,20000
FOODS_3_278,7700
FOODS_3_279,17149
FOODS_3_280,11748
FOODS_3_281,176754
FOODS_3_282,186791
FOODS_3_283,31607
FOODS_3_284,2939
FOODS_3_285,53358
FOODS_3_286,11937
FOODS_3_287,12060
FOODS_3_288,158133
FOODS_3_289,16858
FOODS_3_290,61898
FOODS_3_291,23252
FOODS_3_292,30138
FOODS_3_293,10079
FOODS_3_294,16882
FOODS_3_295,202031
FOODS_3_296,1433
FOODS_3_297,7158
FOODS_3_298,8172
FOODS_3_299,34076
FOODS_3_300,53221
FOODS_3_301,22572
FOODS_3_302,29966
FOODS_3_303,11395
FOODS_3_304,51845
FOODS_3_305,51553
FOODS_3_306,22802
FOODS_3_307,34088
FOODS_3_308,21143
FOODS_3_309,7087
FOODS_3_310,30318
FOODS_3_311,29051
FOODS_3_312,6742
FOODS_3_313,99945
FOODS_3_314,11010
FOODS_3_315,6408
FOODS_3_316,12211
FOODS_3_317,33064
FOODS_3_318,260598
FOODS_3_319,208357
FOODS_3_320,16499
FOODS_3_321,30527
FOODS_3_322,13845
FOODS_3_323,6479
FOODS_3_324,66836
FOODS_3_325,12010
FOODS_3_326,44181
FOODS_3_327,74715
FOODS_3_328,10540
FOODS_3_329,146275
FOODS_3_330,33335
FOODS_3_331,26243
FOODS_3_332,40203
FOODS_3_333,20163
FOODS_3_334,23791
FOODS_3_335,16467
FOODS_3_336,16440
FOODS_3_337,1953
FOODS_3_338,1727
FOODS_3_339,56650
FOODS_3_340,6288
FOODS_3_341,6759
FOODS_3_342,67867
FOODS_3_343,4136
FOODS_3_344,11645
FOODS_3_345,8324
FOODS_3_346,66906
FOODS_3_347,32709
FOODS_3_348,108903
FOODS_3_349,75994
FOODS_3_350,1671
FOODS_3_351,78577
FOODS_3_352,15876
FOODS_3_353,3143
FOODS_3_354,7881
FOODS_3_355,47327
FOODS_3_356,22563
FOODS_3_357,13593
FOODS_3_358,4636
FOODS_3_359,2497
FOODS_3_360,16360
FOODS_3_361,12499
FOODS_3_362,146207
FOODS_3_363,79268
FOODS_3_364,2974
FOODS_3_365,7822
FOODS_3_366,3097
FOODS_3_367,30811
FOODS_3_368,52535
FOODS_3_369,26822
FOODS_3_370,21531
FOODS_3_371,2585
FOODS_3_372,26671
FOODS_3_373,10094
FOODS_3_374,7596
FOODS_3_375,7524
FOODS_3_376,228551
FOODS_3_377,273289
FOODS_3_378,18952
FOODS_3_379,6095
FOODS_3_380,5020
FOODS_3_381,15644
FOODS_3_382,11616
FOODS_3_383,40562
FOODS_3_384,9277
FOODS_3_385,22469
FOODS_3_386,19506
FOODS_3_387,14812
FOODS_3_388,25355
FOODS_3_389,169069
FOODS_3_390,8814
FOODS_3_391,10050
FOODS_3_392,18020
FOODS_3_393,45565
FOODS_3_394,13424
FOODS_3_395,15387
FOODS_3_396,4689
FOODS_3_397,6546
FOODS_3_398,16408
FOODS_3_399,48449
FOODS_3_400,33088
FOODS_3_401,12384
FOODS_3_402,5521
FOODS_3_403,57576
FOODS_3_404,110046
FOODS_3_405,13756
FOODS_3_406,141421
FOODS_3_407,57486
FOODS_3_408,7606
FOODS_3_409,2945
FOODS_3_410,20235
FOODS_3_411,19497
FOODS_3_412,150568
FOODS_3_413,83534
FOODS_3_414,8222
FOODS_3_415,19541
FOODS_3_416,6135
FOODS_3_417,2902
FOODS_3_418,28562
FOODS_3_419,7121
FOODS_3_420,10567
FOODS_3_421,4881
FOODS_3_422,24174
FOODS_3_423,18516
FOODS_3_424,19435
FOODS_3_425,6366
FOODS_3_426,8311
FOODS_3_427,5375
FOODS_3_428,14309
FOODS_3_429,11130
FOODS_3_430,3646
FOODS_3_431,24933
FOODS_3_432,34928
FOODS_3_433,22475
FOODS_3_434,29285
FOODS_3_435,99356
FOODS_3_436,3771
FOODS_3_437,12039
FOODS_3_438,25518
FOODS_3_439,21713
FOODS_3_440,5021
FOODS_3_441,59794
FOODS_3_442,5527
FOODS_3_443,3210
FOODS_3_444,105544
FOODS_3_445,7586
FOODS_3_446,96285
FOODS_3_447,8609
FOODS_3_448,23056
FOODS_3_449,76021
FOODS_3_450,20961
FOODS_3_451,15621
FOODS_3_452,9140
FOODS_3_453,5106
FOODS_3_454,100811
FOODS_3_455,134776
FOODS_3_456,7573
FOODS_3_457,5859
FOODS_3_458,165570
FOODS_3_459,47177
FOODS_3_460,48049
FOODS_3_461,34424
FOODS_3_462,192125
FOODS_3_463,21881
FOODS_3_464,16057
FOODS_3_465,11542
FOODS_3_466,1628
FOODS_3_467,17343
FOODS_3_468,85612
FOODS_3_469,66704
FOODS_3_470,13798
FOODS_3_471,3057
FOODS_3_472,1043
FOODS_3_473,98654
FOODS_3_474,84512
FOODS_3_475,45678
FOODS_3_476,71934
FOODS_3_477,81132
FOODS_3_478,8954
FOODS_3_479,23896
FOODS_3_480,22200
FOODS_3_481,29935
FOODS_3_482,7687
FOODS_3_483,11524
FOODS_3_484,7358
FOODS_3_485,26972
FOODS_3_486,8211
FOODS_3_487,30026
FOODS_3_488,16432
FOODS_3_489,17832
FOODS_3_490,12009
FOODS_3_491,196627
FOODS_3_492,15047
FOODS_3_493,20038
FOODS_3_494,13629
FOODS_3_495,31755
FOODS_3_496,18816
FOODS_3_497,16844
FOODS_3_498,166432
FOODS_3_499,123221
FOODS_3_500,1936
FOODS_3_501,199847
FOODS_3_502,17265
FOODS_3_503,92370
FOODS_3_504,30757
FOODS_3_505,35218
FOODS_3_506,7838
FOODS_3_507,2838
FOODS_3_508,36750
FOODS_3_509,18706
FOODS_3_510,3503
FOODS_3_511,71032
FOODS_3_512,1949
FOODS_3_513,24541
FOODS_3_514,15429
FOODS_3_515,19179
FOODS_3_516,134051
FOODS_3_517,1759
FOODS_3_518,6182
FOODS_3_519,23223
FOODS_3_520,17634
FOODS_3_521,2811
FOODS_3_522,5604
FOODS_3_523,23973
FOODS_3_524,94365
FOODS_3_525,13613
FOODS_3_526,86546
FOODS_3_527,3530
FOODS_3_528,8945
FOODS_3_529,3403
FOODS_3_530,45823
FOODS_3_531,7549
FOODS_3_532,22696
FOODS_3_533,26900
FOODS_3_534,39748
FOODS_3_535,21372
FOODS_3_536,11295
FOODS_3_537,15370
FOODS_3_538,14188
FOODS_3_539,6428
FOODS_3_540,58179
FOODS_3_541,272624
FOODS_3_542,13687
FOODS_3_543,8821
FOODS_3_544,9291
FOODS_3_545,12016
FOODS_3_546,71762
FOODS_3_547,180254
FOODS_3_548,3326
FOODS_3_549,4213
FOODS_3_550,7705
FOODS_3_551,19797
FOODS_3_552,11694
